
# SID	@(#) glossary.txt 3.2 24/05/27 10:39:10

# acronym | description
#------+----------------------------------------------------------------------+
0-Length OpenSSL	invalid MAC, valid padding with 0-length record (variant of POODLE exploit)
0-RTT	zero Round-Trip Time
3Fish	see Threefish
3SHAKE	sometimes for: TLS Triple Handshake Attack
AA	Attribute Authority
AAD	Additional Authenticated Data
ACME	Automated Certificate Management Environment
ACL	Access Control List
Achterbahn	80-, 128-bit key stream cipher (2006)
ACHTERBAHN-80	see Achterbahn
ACHTERBAHN-128	see Achterbahn
Adiantum	ChaCha stream cipher with Poly1305 and XChaCha12
ADH	Anonymous Diffie-Hellman
Adler32	hash function
AE	Authenticated Encryption
AEAD	Authenticated Encryption with Additional Data
AECDHE	Anonymous Ephemeral ECDH
AEM	Authenticated Encryption Mode aka Advanced Encryption Mode aka OCB3
AES	Advanced Encryption Standard, symmetric block cipher
AESCCM	AES with CCM
AESCCM8	AES with CCM8
AESGCM	AEAD algorithms AEAD_AES_128_GCM and AEAD_AES_256_GCM
AES-CCM	alias for AESCCM
AES-GCM	alias for AESGCM
# AES-GCM	AES-GCM is an authenticated encryption mode that uses the AES block cipher in counter mode with a polynomial MAC based on Galois field multiplication.
AES-GCM-SIV	Nonce Misuse-Resistant Authenticated Encryption (RFC8452)
AES-CTR	?
AES-XTS	?
AIA	Authority Information Access (certificate extension)
AKC	Agreement with Key Confirmation
AKID	Authority Key IDentifier
ALPN	Application Layer Protocol Negotiation
ALPACA	Application Layer and Content Confusion Attack	(Exploit SSL/TLS)
AMASTRID	stream cipher
Anubis	128-bit symmetric block cipher
ARC4	Alleged RC4 (see RC4)
ARCFOUR	alias for ARC4
Argon2	Password hashing function (J. Aumasson, 2014)
Argon2d	variant of Argon2
Argon2i	variant of Argon2
Argon2id	variant of Argon2
ARIA	128-bit symmetric block cipher
ARX	add–rotate–xor
ASN	Autonomous System Number
ASN.1	Abstract Syntax Notation number One
AtE	Authenticate-then-Encrypt (see also MtE)
BACPA	Blockwise-Adaptive Chosen-Plaintext Attack
BADA55	"locate weak cryptography somewhere", Bernstein, Lange, et al.
BADA55-VPR-224	improved verifiably pseudorandom 224-bit curve
BADA55-VR-224	curve using the same prime as NIST P-224
BADA55-VR-256	curve using the same prime as NIST P-256
BADA55-VR-384	curve using the same prime as NIST P-384
Bar Mitzvah	vulnerabilty of TLS sessions protected with RC4
BDH	Bilinear Diffie-Hellman
BEAR	block cipher combining stream cipher and hash function
BEAST	Browser Exploit Against SSL/TLS	(Exploit SSL/TLS)
BEAST .	fast block cipher for arbitrary blocksizes (rarely)
BER	Basic Encoding Rules
BGP	Boorder Gateway Protocol
bcrypt	hash function (Niels Provos, David Mazières, 1999)
BLAKE	hash function (Jean-Philippe Aumasson, Luca Henzen, Willi Meier, Raphael C.-W. Phan, 2008)
BLAKE2	fast secure hashing function (2012)
BLAKE2b	see BLAKE (64 bit)
BLAKE2s-128	see BLAKE (32 bit)
BLAKE3	fast secure hashing function (20??)
BLAKE3	??
BLAKE-32	see BLAKE (32 bit)
BLAKE-64	see BLAKE (64 bit)
BLAKE-224	see BLAKE (224 bit)
BLAKE-256	see BLAKE (256 bit)
BLAKE-384	see BLAKE (384 bit)
BLAKE-512	see BLAKE (512 bit)
Blowfish	64-bit symmetric block cipher (1993)
boomerang attack	attack on BLAKE
BPA	Branch Prediction Analysis
Brainpool	signature algorithm, from BSI
