
# SID	@(#) rfc.txt 1.23 25/01/07 11:55:54

# number| title / description
#------+----------------------------------------------------------------------+
# url	base URL for RFC descriptions
#	http://tools.ietf.org/html/rfcXXXX
#	http://tools.ietf.org/rfc/rfcXXXX.txt
# SSLv2	https://www-archive.mozilla.org/projects/security/pki/nss/ssl/draft02.html
url	http://tools.ietf.org/
6101	SSL Version 3.0
6601	SSL Version 3.0
2246	TLS Version 1.0 (with Cipher Suites)
4346	TLS Version 1.1 (with Cipher Suites)
5246	TLS Version 1.2 (with Cipher Suites)
8446	TLS Version 1.3 (with Cipher Suites)
4347	DTLS Version 0.9
6347	DTLS Version 1.2
9147	DTLS Version 1.3
8447	IANA Registry Updates for TLS and DTLS
2616	Hypertext Transfer Protocol Version 1 (HTTP/1.1)
7540	Hypertext Transfer Protocol Version 2 (HTTP/2)
7230	HTTP/1.1: Message Syntax and Routing
7231	HTTP/1.1: Semantics and Content
7232	HTTP/1.1: Conditional Requests
7233	HTTP/1.1: Range Requests
7234	HTTP/1.1: Caching
7235	HTTP/1.1: Authentication
2144	CAST-128 Encryption Algorithms
2612	CAST-256 Encryption Algorithms
2950	Telnet Encryption: CAST-128 64 bit Cipher Feedback
2984	Use of the CAST-128 Encryption Algorithm in CMS
3490	Internationalizing Domain Names in Applications (IDNA)
3987	Internationalized Resource Identifiers (IRIs)
4518	Internationalized String Preparation in LDAP
3986	Uniform Resource Identifier (URI): Generic Syntax
2104	HMAC: Keyed-Hashing for Message Authentication
2328	OSPF: Open Shortest Path First Version 2
2405	The ESP DES-CBC Cipher Algorithm With Explicit IV
2406	IP Encapsulating Security Payload (ESP)
4303	IP Encapsulating Security Payload (ESP)
2407	The Internet IP Security Domain of Interpretation for ISAKMP
2408	Internet Security Association and Key Management Protocol (ISAKMP)
2409	The Internet Key Exchange (IKE) - 1998
4306	The Internet Key Exchange (IKEv2) Protocol - 2005
7296	The Internet Key Exchange Protocol 2 (IKEv2) - 2014
4753	ECP Groups for IKE and IKEv2
4754	IKE and IKEv2 Authentication Using the Elliptic Curve Digital Signature Algorithm (ECDSA)
2412	AKLEY Key Determination Protocol (PFS - Perfect Forward Secrec)
2817	Upgrading to TLS Within HTTP/1.1
2818	HTTP Over TLS
2945	SRP Authentication & Key Exchange System
2986	PKCS#10
5967	PKCS#10
2313	PKCS#1: RSA Cryptography Specifications Version 1.5
2437	PKCS#1: RSA Cryptography Specifications Version 2.0
3447	PKCS#1: RSA Cryptography Specifications Version 2.1
8017	PKCS#1: RSA Cryptography Specifications Version 2.2
2712	TLSKRB: Addition of Kerberos Cipher Suites to TLS
3268	TLSAES: Advanced Encryption Standard (AES) Cipher Suites for TLS
4279	TLSPSK: Pre-Shared Key Ciphersuites for TLS
5081	TLSPGP: Using OpenPGP Keys for Transport Layer Security (TLS) Authentication - 2007
6091	TLSPGP: Using OpenPGP Keys for Transport Layer Security (TLS) Authentication - 2011
3711	The Secure Real-time Transport Protocol (SRTP)
6189	ZRTP: Media Path Key Agreement for Unicast Secure RTP
4106	Use of Galois/Counter Mode (GCM) in IPsec Encapsulating Security Payload (ESP)
4309	AES-CCM Mode with IPsec Encapsulating Security Payload (ESP)
5116	An Interface and Algorithms for Authenticated Encryption (AEAD)
3749	TLS Compression Method (obsolete)
3943	TLS Protocol Compression Using Lempel-Ziv-Stac (LZS)
4680	TLS Handshake Message for Supplemental Data
4749	TLS Compression Methods
3546	TLS Extensions (obsolete)
4366	TLS Extensions
5746	TLS Extension: Renegotiation Indication Extension
5764	TLS Extension: Secure Real-time Transport Protocol (SRTP)
5878	TLS Extension: Authorization
5929	TLS Extension: Channel Bindings
6066	TLS Extension: Extension Definitions
6520	TLS Extension: Heartbeat
7301	TLS Extension: Application-Layer Protocol Negotiation (ALPN)
7633	TLS Extension: Feature Extension: Must Staple
7924	TLS Extension: Cached Information Extension
8449	TLS Extension: Record Size Limit
5077	TLS session resumption without Server-Side State
6961	TLS Multiple Certificate Status Request Extension
7627	TLS Session Hash and Extended Master Secret Extension
9002	Using TLS to Secure QUIC
6176	Prohibiting Secure Sockets Layer (SSL) Version 2.0
7568	Deprecating Secure Sockets Layer Version 3.0
6460	NSA Suite B Profile for TLS
2560	Online Certificate Status Protocol (OCSP, obsolete)
6267	Online Certificate Status Protocol Algorithm Agility (OCSP, obsolete)
4210	X509 PKI Certificate Management Protocol (CMP)
3279	x509 Algorithms and Identifiers for X.509 PKI and CRL Profile
8692	X509 PKI Additional Algorithm Identifiers for RSASSA-PSS and ECDSA Using SHAKEs
3739	x509 PKI Qualified Certificates Profile; EU Directive 1999/93/EC
3280	X509 PKI Certificate and Certificate Revocation List (CRL) Profile (obsolete)
4158	X509 PKI Certification Path Building
4387	X509 PKI Operational Protocols: Certificate Store Access via HTTP
5280	X509 PKI Certificate and Certificate Revocation List (CRL) Profile
5480	X509 PKI Elliptic Curve Cryptography Subject
5758	X509 PKI Additional Algorithms and Identifiers for DSA and ECDSA
6960	X509 Online Certificate Status Protocol (OCSP)
8410	X509 PKI Algorithm Identifiers for Ed25519, Ed448, X25519, and X448
4132	Addition of Camellia Cipher Suites to TLS
4162	Addition of SEED Cipher Suites to TLS
4357	Additional Cryptographic Algorithms for Use with GOST 28147-89, GOST R 34.10-94, GOST R 34.10-2001, and GOST R 34.11-94 Algorithms
4418	UMAC: Message Authentication Code using Universal Hashing
4490	Using the GOST 28147-89, GOST R 34.11-94, GOST R 34.10-94, and GOST R 34.10-2001 Algorithms with Cryptographic Message Syntax (CMS)
4491	Using the GOST Algorithms with X509 (GOST R 34.10-94, GOST R 34.10-2001, GOST R 34.11-94)
4634	US Secure Hash Algorithms (SHA, SHA-based HMAC and HKDF)
5869	HMAC-based Extract-and-Expand Key Derivation Function (HKDF)
5830	GOST 28147-89: Encryption, Decryption, and Message Authentication Code (MAC) Algorithms
5831	GOST R 34.11-94: Hash Function Algorithm
5832	GOST R 34.10-2001: Digital Signature Algorithm
6986	GOST R 34.11-2012: Hash Function
7091	GOST R 34.10-2012: Digital Signature Algorithm
7801	GOST R 34.12-2015: Block Cipher "Kuznyechik"
9189	GOST Cipher Suites for Transport Layer Security (TLS) Protocol Version 1.2
9150	TLS 1.3 Authentication and Integrity-Only Cipher Suites
7836	Guidelines on the Cryptographic Algorithms to Accompany the Usage of Standards GOST R 34.10-2012 and GOST R 34.11-2012
4868	Using HMAC-SHA-256, HMAC-SHA-384, and HMAC-SHA-512 with IPsec
4785	Pre-Shared Key (PSK) Cipher Suites with NULL Encryption for TLS
5054	Secure Remote Password (SRP) Protocol for TLS Authentication
5114	Additional Diffie-Hellman Groups for Use with IETF Standards
5288	AES Galois Counter Mode (GCM) Cipher Suites for TLS
5289	TLS Elliptic Curve Cipher Suites with SHA-256/384 and AES Galois Counter Mode (GCM)
5430	Suite B Profile for TLS
5487	Pre-Shared Key Cipher Suites for TLS with SHA-256/384 and AES Galois Counter Mode
5489	ECDHE_PSK Cipher Suites for TLS
5589	Session Initiation Protocol (SIP) Call Control - Transfer
5709	OSPFv2 HMAC-SHA Cryptographic Authentication
6040	Tunnelling of Explicit Congestion Notification
6090	Fundamental Elliptic Curve Cryptography Algorithms
4492	TLSECC: Elliptic Curve Cryptography (ECC) Cipher Suites for TLS (obsolete)
5639	Elliptic Curve Cryptography (ECC) Brainpool Standard Curves and Curve Generation
5903	Elliptic Curve Groups modulo a Prime (ECP Groups) for IKE and IKEv2
6507	Elliptic Curve-Based Certificateless Signatures for Identity-Based Encryption (ECCSI)
7027	Elliptic Curve Cryptography (ECC) Brainpool Curves for TLS
7748	Elliptic Curve for Security
8422	Elliptic Curve Cryptography (ECC) Cipher Suites for TLS Versions 1.2 and Earlier
5297	Synthetic Initialization Vector (SIV) Authenticated Encryption Using the Advanced Encryption Standard (AES)
8452	AES-GCM-SIV: Nonce Misuse-Resistant Authenticated Encryption 
5528	Camellia Counter Mode and Camellia Counter with CBC-MAC Mode Algorithms
5741	RFC Streams, Headers, and Boilerplates
5794	Description of the ARIA Encryption Algorithm
5932	Camellia Cipher Suites for TLS
6151	Updated Security for MD5 and HMAC-MD5
6234	US Secure Hash Algorithms (SHA, SHA-based HMAC and HKDF)
6209	Addition of the ARIA Cipher Suites to TLS
6367	Addition of the Camellia Cipher Suites to TLS
6655	AES-CCM Cipher Suites for TLS
7251	AES-CCM Elliptic Curve Cryptography (ECC) Cipher Suites for TLS
7507	TLS Fallback Signaling Cipher Suite Value (SCSV) for Preventing Protocol Downgrade Attacks
5055	Server-Based Certificate Validation Protocol (SCVP)
5019	simplified RFC 2560
5705	Keying Material Exporters for TLS
6125	Representation and Verification of Domain-Based Application Service (PKIX) for TLS
6797	HTTP Strict Transport Security (HSTS)
6962	Certificate Transparency
9162	Certificate Transparency Version 2.0
6979	Deterministic Usage of the Digital Signature Algorithm (DSA) and Elliptic Curve Digital Signature Algorithm (ECDSA)
7366	Encrypt-then-MAC for TLS and DTLS
7457	Summarizing Known Attacks on TLS and DTLS
7465	Prohibiting RC4 Cipher Suites
7469	Public Key Pinning Extension for HTTP
7525	Recommendations for Secure Use of TLS and DTLS
7539	ChaCha20 and Poly1305 for IETF Protocols (obsolete)
8439	ChaCha20 and Poly1305 for IETF Protocols
7905	ChaCha20-Poly1305 Cipher Suites for TLS
7627	TLS Session Hash and Extended Master Secret Extension
7693	The BLAKE2 Cryptographic Hash and Message Authentication Code
7919	Negotiated Finite Field Diffie-Hellman Ephemeral Parameters for TLS
1135	The Helminthiasis of the Internet
6698	DNS-Based Authentication of Named Entities (DANE)
6844	DNS Certification Authority Authorization (CAA) Resource Record
3610	Counter with CBC-MAC (CCM)
3852	Cryptographic Message Syntax (CMS)
5083	Cryptographic Message Syntax (CMS) Authenticated-Enveloped-Data Content Type
4086	Randomness Requirements for Security
4107	Guidelines for Cryptographic Key Management
8032	Edwards-Curve Digital Signature Algorithm (EdDSA)
8391	XMSS: eXtended Merkle Signature Scheme
7710	Captive Portal Using DHCP
8484	DNS over HTTPS (DoH)
8467	Padding for DoH und DoT
8492	Secure Password Ciphersuites for Transport Layer Security (TLS)
1918	Address Allocation for Private Internets
6598	IANA-Reserved IPv4 Prefix for Shared Address Space
8701	Applying Generate Random Extensions And Sustain Extensibility (GREASE) to TLS Extensibility
8998	ShangMi (SM) Cipher Suites for TLS 1.3
9102	Argon2 Memory-hard function for password hashing and proof-of-work applications (2021)
9155	Deprecating MD5 and SHA-1 Signature Hashes in TLS 1.2 and DTLS 1.2
8398	Internationalized Email Addresses in X.509 Certificates
8399	Internationalization Updates to RFC 5280
8447	IANA Registry Updates for TLS and DTLS
8478	Zstandard Compression and the application/zstd Media Type
8702	Use of the SHAKE One-Way Hash Functions in the Cryptographic Message Syntax (CMS)
8879	TLS Certificate Compression
7250	Using Raw Public Keys in Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS)
7924	Transport Layer Security (TLS) Cached Information Extension
7932	Brotli Compressed Data Format
9052	CBOR Object Signing and Encryption (COSE): Structures and Process
9054	CBOR Object Signing and Encryption (COSE): Hash Algorithms
9106	Argon2 Memory-Hard Function for Password Hashing and Proof-of-Work Applications
9347	Aggregation and Fragmentation Mode for Encapsulating Security Payload (ESP) and Its Use for IP Traffic Flow Security (IP-TFS)

